key,version,display_name,PRICING,license_key,license_version,Shown on Market,id,description,MD comment
MODEL_FATS_MORPHED_BMI29_H182,3.1.0,Morphed Ella V3.1 (BMI 29),Morphed V3 (*),MODEL_FATS_MORPHED_BMI29_H182,V3.1,ok,106,Virtual Population Model - Morphed Fats ViP3.1 (BMI 29),
MODEL_FATS_MORPHED_BMI66_H182,3.2.0,Morphed Ella V3.1 (BMI 66),Morphed V3 (*),MODEL_FATS_MORPHED_BMI66_H182,V3.2,ok,158,Virtual Population Model - Morphed Fats ViP3.2 (BMI 66),
MODEL_FATS_MORPHED_BMI70_H182,3.2.0,Morphed Ella V3.1 (BMI 70),Morphed V3 (*),MODEL_FATS_MORPHED_BMI70_H182,V3.2,ok,159,Virtual Population Model - Morphed Fats ViP3.2 (BMI 70),
MODEL_BILLIE_POSABLE,1.0.0,Billie V1.0 (Not shown),ViP V1,MODEL_BILLIE_POSABLE,V1.0,,10,Virtual Population Model - Billie ViP1.3,
MODEL_CHARLIE,1.0.0,Charlie V1.0,ViP V1,MODEL_CHARLIE,V1.0,ok,16,Virtual Population Model - Charlie ViP1.1,
MODEL_DIZZY_POSABLE,1.0.0,Dizzy V1.0 (Not shown),ViP V1,MODEL_DIZZY_POSABLE,V1.0,,13,Virtual Population Model - Dizzy ViP1.3,
MODEL_DUKE_POSABLE,1.0.0,Duke V1.0 (Not shown),ViP V1,MODEL_DUKE_POSABLE,V1.0,,8,Virtual Population Model - Duke ViP1.3,
MODEL_EARTHA_POSABLE,1.0.0,Eartha V1.0 (Not shown),ViP V1,MODEL_EARTHA_POSABLE,V1.0,,12,Virtual Population Model - Eartha ViP1.3,
MODEL_ELLA_POSABLE,1.0.0,Ella V1.0 (Not shown),ViP V1,MODEL_ELLA_POSABLE,V1.0,,9,Virtual Population Model - Ella ViP1.3,
MODEL_FATS,1.0.0,Fats V1.0 (Not shown),ViP V1,MODEL_FATS,V1.0,,7,Virtual Population Model - Fats ViP1.1,
MODEL_LOUIS_POSABLE,1.0.0,Louis V1.0 (Not shown),ViP V1,MODEL_LOUIS_POSABLE,V1.0,,15,Virtual Population Model - Louis ViP1.3,
MODEL_NINA_POSABLE,1.0.0,Nina V1.0,ViP V1,MODEL_NINA_POSABLE,V1.0,ok,17,Virtual Population Model - Nina ViP1.1,
MODEL_PREGNANT_WOMAN,1.0.0,Pregnant Woman,ViP V1,MODEL_PREGNANT_WOMAN,V1.0,ok,18,Virtual Population Model - Pregnant Woman 3 months ViP1.1,
MODEL_PREGNANT_WOMAN,1.0.0,Pregnant Woman,ViP V1,MODEL_PREGNANT_WOMAN,V1.0,ok,19,Virtual Population Model - Pregnant Woman 7 months ViP1.1,
MODEL_PREGNANT_WOMAN,1.0.0,Pregnant Woman,ViP V1,MODEL_PREGNANT_WOMAN,V1.0,ok,20,Virtual Population Model - Pregnant Woman 9 months ViP1.1,
MODEL_ROBERTA_POSABLE,1.0.0,Roberta V1.0 (Not shown),ViP V1,MODEL_ROBERTA_POSABLE,V1.0,,14,Virtual Population Model - Roberta ViP1.3,
MODEL_THELONIOUS_POSABLE,1.0.0,Thelonious V1.0 (Not shown),ViP V1,MODEL_THELONIOUS_POSABLE,V1.0,,11,Virtual Population Model - Thelonious ViP1.3,
CMODEL_BILLIE,3.0.0,Billie V3.0 (Not shown),ViP V3,CMODEL_BILLIE,V3.0,,72,Virtual Population Model - Billie ViP3.0,
CMODEL_BILLIE_POSABLE (NOT_SHOWN),3.0.0,Billie V3.0 (Not shown),ViP V3,CMODEL_BILLIE_POSABLE,V3.0,,50,Virtual Population Model - Billie cViP3.0,
CMODEL_BILLIE_POSABLE,3.1.0,Billie V3.1,ViP V3,CMODEL_BILLIE_POSABLE,V3.1,ok,155,Virtual Population Model - Billie Shell,
CMODEL_BILLIE_POSABLE,3.1.0,Billie V3.1,ViP V3,CMODEL_BILLIE_POSABLE,V3.1,ok,51,Virtual Population Model - Billie cViP3.1,
CMODEL_DIZZY,3.0.0,Dizzy V3.0 (Not shown),ViP V3,CMODEL_DIZZY,V3.0,,60,Virtual Population Model - Dizzy ViP3.0,
CMODEL_DIZZY_POSABLE,3.1.0,Dizzy V3.1,ViP V3,CMODEL_DIZZY_POSABLE,V3.1,ok,154,Virtual Population Model - Dizzy Shell,
CMODEL_DIZZY_POSABLE,3.1.0,Dizzy V3.1,ViP V3,CMODEL_DIZZY_POSABLE,V3.1,ok,63,Virtual Population Model - Dizzy cViP3.1,
CMODEL_DUKE,3.0.0,Duke V3.0 (Not shown),ViP V3,CMODEL_DUKE,V3.0,,36,Virtual Population Model - Duke ViP3.0,
CMODEL_DUKE_POSABLE,3.0.0,Duke cV3.0 (Not shown),ViP V3,CMODEL_DUKE_POSABLE,V3.0,,38,Virtual Population Model - Duke cViP3.0,
CMODEL_DUKE_POSABLE,3.1.0,Duke cV3.1 (Not shown),ViP V3,CMODEL_DUKE_POSABLE,V3.1,,82,Virtual Population Model - Duke cViP3.1,
CMODEL_DUKE_POSABLE,3.1.0,Duke cV3.1 (Not shown),ViP V3,CMODEL_DUKE_POSABLE,V3.1,,83,Virtual Population Model - Duke cViP3.1.1,
CMODEL_DUKE_POSABLE,3.1.0,Duke cV3.1 (Not shown),ViP V3,CMODEL_DUKE_POSABLE,V3.1,,143,Virtual Population Model - Duke Shell,
CMODEL_EARTHA,3.0.0,Eartha V3.0 (Not shown),ViP V3,CMODEL_EARTHA,V3.0,,56,Virtual Population Model - Eartha ViP3.0,
CMODEL_EARTHA_POSABLE,3.1.0,Eartha V3.1,ViP V3,CMODEL_EARTHA_POSABLE,V3.1,ok,153,Virtual Population Model - Eartha Shell,
CMODEL_EARTHA_POSABLE,3.1.0,Eartha V3.1,ViP V3,CMODEL_EARTHA_POSABLE,V3.1,ok,59,Virtual Population Model - Eartha cViP3.1,
CMODEL_EDDIE_POSABLE,3.1.0,Eddie V3.1 (Not shown),ViP V3,CMODEL_EDDIE_POSABLE,V3.1,,142,Virtual Population Model - Eddie cV3-1,
CMODEL_EDDIE_POSABLE,3.1.0,Eddie V3.1 (Not shown),ViP V3,CMODEL_EDDIE_POSABLE,V3.1,,152,Virtual Population Model - Eddie Shell,
CMODEL_EDDIE_POSABLE,3.2.0,Eddie V3.2,ViP V3,CMODEL_EDDIE_POSABLE,V3.2,ok,164,Virtual Population Model - Eddie cV3-2,
CMODEL_ELLA,3.0.0,Ella V3.0 (Not shown),ViP V3,CMODEL_ELLA,V3.0,,44,Virtual Population Model - Ella ViP3.0,
